Key,Median_Largest_Improvement
perf_cycles,2
perf_branches,3
perf_task_clock,3
weights,6
perf_time,10
perf_cache_references,10
perf_cache_misses,16
perf_faults,17
time,18
perf_cpu_clock,18
energy,20
perf_instructions,22
perf_branch_misses,28
