Key,Median,IQR
perf_cache_misses,0.022727272727272728,0.0735042735042735
perf_L1_dcache_loads,0.024390243902439025,0.008105369807497466
perf_task_clock,0.02631578947368421,0.15271132376395533
perf_time,0.027777777777777776,0.005942275042444822
energy,0.05128205128205128,0.2600732600732601
perf_faults,0.08620689655172414,0.02539682539682539
perf_branch_misses,0.09523809523809523,0.12173913043478261
perf_cpu_clock,0.12903225806451613,0.09549071618037136
perf_branches,0.14606741573033707,0.2567567567567568
perf_cycles,0.1935483870967742,0.07380952380952382
perf_cache_references,0.19607843137254902,0.46875
perf_instructions,0.24444444444444444,0.7578947368421053
time,0.2631578947368421,0.24845916795069337
weights,0.3333333333333333,0.2
