Key,Median,IQR
perf_task_clock,0.027237354085603113,0.25508788159111934
perf_cache_references,0.0288,0.08129539849080883
perf_cache_misses,0.033112582781456956,0.030716352095270193
weights,0.06323185011709602,0.13123187993860497
perf_faults,0.07368421052631578,0.25878489326765186
time,0.08695652173913043,0.6093370357514751
perf_cpu_clock,0.23348017621145375,0.17545638945233263
perf_cycles,0.26436781609195403,0.2624434389140271
perf_L1_dcache_loads,0.30505709624796085,0.20582561728395063
energy,0.3805668016194332,0.1193228398098049
perf_branch_misses,0.5238095238095238,0.41698453810532926
perf_branches,0.7142857142857143,0.2265432098765432
perf_instructions,0.7310924369747899,0.6271929824561404
perf_time,0.8362573099415205,0.18898443243934415
