Key,Median,IQR
perf_cache_references,0.0288,0.08129539849080883
perf_cache_misses,0.059027777777777776,0.02620945111684813
perf_faults,0.07368421052631578,0.25878489326765186
time,0.08695652173913043,0.6093370357514751
weights,0.16326530612244897,0.15981374464723735
perf_cycles,0.26436781609195403,0.2624434389140271
perf_task_clock,0.26595744680851063,0.4527010804321729
perf_cpu_clock,0.29310344827586204,0.0837612030988911
perf_L1_dcache_loads,0.30505709624796085,0.20582561728395063
energy,0.39035087719298245,0.13787884520791555
perf_branch_misses,0.5238095238095238,0.41698453810532926
perf_branches,0.7142857142857143,0.2265432098765432
perf_instructions,0.7310924369747899,0.6271929824561404
perf_time,0.8362573099415205,0.18898443243934415
