Item_Retry,Normalized_MAD
time_1,0.48264299897450147
time_2,0.6642236563441801
time_3,0.5752140733559878
time_4,0.614701844940849
time_5,0.5767150103320471
perf_time_1,0.3612898692191897
perf_time_2,0.563241943638079
perf_time_3,0.5519487686584834
perf_time_4,0.6406203293291766
perf_time_5,0.5768189962655563
perf_instructions_1,0.6056470135576655
perf_instructions_2,0.6036417084644699
perf_instructions_3,0.5885319045760998
perf_instructions_4,0.6139141599762242
perf_instructions_5,0.6032411352979593
perf_cycles_1,0.5910791169401424
perf_cycles_2,0.5748152166183358
perf_cycles_3,0.682817349250731
perf_cycles_4,0.6277261850112025
perf_cycles_5,0.6338611072215558
perf_cache_references_1,0.6874860867031252
perf_cache_references_2,0.5744018353344498
perf_cache_references_3,1.09352840681216
perf_cache_references_4,1.0122254589703477
perf_cache_references_5,0.7076917309565712
perf_cache_misses_1,0.2530565222361345
perf_cache_misses_2,0.30764683201216725
perf_cache_misses_3,0.2538554019578299
perf_cache_misses_4,0.3383617325256438
perf_cache_misses_5,0.2612344409963132
perf_branches_1,0.5690893760076151
perf_branches_2,0.709510160757549
perf_branches_3,0.5601093380606794
perf_branches_4,0.6486624009744149
perf_branches_5,0.6851577825197773
perf_branch_misses_1,0.5266549561947941
perf_branch_misses_2,0.5556543966954018
perf_branch_misses_3,0.5840159871237228
perf_branch_misses_4,0.6724121388842799
perf_branch_misses_5,0.5882774269072742
perf_cpu_clock_1,1.0080320743225646
perf_cpu_clock_2,0.5389060014448906
perf_cpu_clock_3,0.3824859374296743
perf_cpu_clock_4,0.3220435740531797
perf_cpu_clock_5,0.252386122144368
perf_task_clock_1,0.9036768956525748
perf_task_clock_2,0.6142566511501478
perf_task_clock_3,0.3885672099714405
perf_task_clock_4,0.35550104444042574
perf_task_clock_5,0.23479621744179616
perf_faults_1,0.060092616493650525
perf_faults_2,0.14286672227816352
perf_faults_3,0.05983391489262811
perf_faults_4,0.05810557659423096
perf_faults_5,0.088861643124246
weights_1,0.6527280195388522
weights_2,0.4347508663777208
weights_3,0.44660051050485144
weights_4,0.25624364722538234
weights_5,0.2947196957020546
energy_1,0.6368287297074047
energy_2,0.6356781756592433
energy_3,0.5628242776630963
energy_4,0.556337724453425
energy_5,0.5403312695632351
perf_L1_dcache_loads_1,0.5342349753199853
perf_L1_dcache_loads_2,0.5613913086062408
perf_L1_dcache_loads_3,0.6044851080196332
perf_L1_dcache_loads_4,0.6193154747420233
perf_L1_dcache_loads_5,0.6074041582544206
