Key,Median_Largest_Improvement
weights,3
perf_cache_references,4
perf_branches,4
perf_task_clock,4
perf_cache_misses,7
time,8
perf_branch_misses,8
perf_cpu_clock,8
perf_faults,10
energy,10
perf_time,11
perf_instructions,13
perf_cycles,15
