item_name_orig,mean_median_execution_time,rank
perf_L1_dcache_loads,6.888170562591403,1.0
time,6.896197223805939,2.0
perf_cycles,6.92646853129263,3.0
perf_time,6.9362240706104785,4.0
perf_faults,6.9550017667468635,5.0
perf_cache_references,6.96116347159259,6.0
perf_branches,6.979078072751872,7.0
perf_cache_misses,7.018459895369597,8.0
perf_branch_misses,7.030567710148171,9.0
perf_instructions,7.070980961527676,10.0
energy,7.075275905220769,11.0
weights,7.0913749959087,12.0
original,11.330480430508032,13.0
perf_cpu_clock,11.496340753370896,14.0
perf_task_clock,13.998419430968351,15.0
