Key,Median,IQR
perf_cpu_clock,0.01680672268907563,0.12035742035742036
perf_cache_misses,0.04318936877076412,0.04363758512230128
perf_task_clock,0.045454545454545456,0.048803088803088805
perf_faults,0.04797047970479705,0.056158531305025544
perf_branch_misses,0.06498194945848375,0.0363036303630363
perf_cache_references,0.07083333333333333,0.04069688615718354
perf_instructions,0.07228915662650602,0.05890490874239521
perf_time,0.07539682539682539,0.05180722891566265
perf_branches,0.07659574468085106,0.07803187803187804
time,0.07751937984496124,0.07268735362997658
perf_cycles,0.0782608695652174,0.06545590287921577
weights,0.08994708994708994,0.3230947551434367
perf_L1_dcache_loads,0.09130434782608696,0.057416267942583726
energy,0.10493827160493827,0.09224501673214026
