Item_Retry,Normalized_MAD
energy_2,0.31799174574282435
energy_5,0.3853110159997744
perf_branches_3,0.3388093504926408
weights_5,0.0950104484488833
perf_faults_1,0.0071452919784828275
perf_faults_3,0.009424596757945242
perf_faults_4,0.00824689126814488
perf_faults_5,0.009016452747115569
perf_cpu_clock_1,0.8215694600207563
perf_cpu_clock_2,0.5117293959260304
perf_cpu_clock_3,0.9431982643085504
perf_cpu_clock_4,0.22973644195297618
perf_cpu_clock_5,0.31520871115953514
perf_task_clock_2,0.5872727459517336
perf_task_clock_3,1.0486244131056703
perf_task_clock_4,0.4094282320565525
perf_task_clock_5,0.23444495003486332
time_1,0.34149602936899365
time_2,0.3131090363950276
time_3,0.33407213574523487
time_4,0.33884966670677463
time_5,0.4312005104812422
perf_time_1,0.30033884740552363
perf_time_3,0.3745212240192812
perf_time_4,0.35894257313295747
perf_time_5,0.3484172022425842
perf_cycles_1,0.33126224856544034
perf_cycles_2,0.3667128939345103
perf_cycles_3,0.37290440452319035
perf_cycles_5,0.37392423787324697
perf_cache_references_1,0.43852997513225483
perf_cache_references_2,0.23929852359905907
perf_time_2,0.3415545430625482
perf_cycles_4,0.39516152164832496
perf_cache_references_3,0.3849549625161896
perf_cache_references_4,0.3822206513159545
perf_cache_references_5,0.38302115208331977
perf_cache_misses_1,0.012571106504697383
perf_cache_misses_2,0.011300210239526815
perf_cache_misses_3,0.010789202425075127
perf_cache_misses_4,0.010410909763746807
perf_cache_misses_5,0.012229531276599623
perf_branch_misses_1,1.0399889376917755
perf_branch_misses_2,1.120346975405509
perf_branch_misses_3,0.9992841912984878
perf_branch_misses_4,0.9445761274465677
perf_branch_misses_5,0.6490143159117542
energy_1,0.33187126345156803
energy_3,0.3133399312695249
energy_4,0.3741629646102905
perf_instructions_1,0.42035553570308704
perf_instructions_2,0.37230420293518013
perf_instructions_4,0.3795631963282701
perf_instructions_3,0.26826494839219844
perf_instructions_5,0.3514820802403067
perf_branches_1,0.41210889959053426
perf_branches_2,0.4048105531560974
perf_branches_4,0.4198763007784525
perf_branches_5,0.3853098969656211
weights_1,0.13352843576384316
weights_2,0.142369665239382
weights_3,0.08547571689724039
weights_4,0.12097110183026608
perf_L1_dcache_loads_1,0.28936283987811096
perf_L1_dcache_loads_2,0.23366468370585944
perf_L1_dcache_loads_3,0.2748230097356106
perf_L1_dcache_loads_4,0.2541652767185163
perf_L1_dcache_loads_5,0.2960314075849715
perf_faults_2,0.006658974163892922
perf_task_clock_1,0.38578374773798174
