Key,Median,IQR
weights,1,0.0
perf_instructions,2,24.0
perf_cpu_clock,2,2.0
perf_task_clock,4,9.0
perf_faults,4,0.0
time,6,4.0
perf_cycles,6,39.0
perf_cache_misses,6,23.0
energy,6,4.0
perf_branches,18,2.0
perf_time,23,77.0
perf_L1_dcache_loads,24,56.0
perf_branch_misses,70,8.0
perf_cache_references,78,54.0
