Key,Median,IQR
perf_instructions,0.002028397565922921,0.025380710659898477
perf_cache_misses,0.006091370558375634,0.023350253807106598
time,0.006103763987792472,0.005337200870195794
energy,0.006430868167202572,0.03846800168043692
perf_cycles,0.00851063829787234,0.035617683358206254
weights,0.011627906976744186,0.004788820850997017
perf_cpu_clock,0.015592515592515593,0.02784090909090909
perf_task_clock,0.019230769230769232,0.07921315890727203
perf_branches,0.020263424518743668,0.006048087864245783
perf_time,0.023373983739837397,0.07825615527960554
perf_faults,0.06557377049180328,0.04122807017543859
perf_cache_references,0.08583247156153051,0.4872929210577315
perf_L1_dcache_loads,0.11561866125760649,0.2020496121061201
perf_branch_misses,0.49645390070921985,0.4549885149305903
