Key,Median,IQR
perf_branches,0.020833333333333332,0.010617506671176755
perf_cpu_clock,0.02336448598130841,0.02087939081306804
perf_branch_misses,0.02617801047120419,0.009736771420897124
perf_cache_misses,0.027777777777777776,0.02344294100089543
perf_faults,0.027932960893854747,0.016650016650016652
time,0.02857142857142857,0.01479184488166524
perf_instructions,0.031055900621118012,0.04700255627937659
energy,0.033783783783783786,0.01572116671126572
weights,0.03496503496503497,0.03821719277347628
perf_cycles,0.035211267605633804,0.02788594812223616
perf_cache_references,0.0390625,0.044117647058823525
perf_time,0.03937007874015748,0.03066957119926622
perf_L1_dcache_loads,0.04132231404958678,0.040178571428571425
perf_task_clock,0.20574162679425836,0.24356513885752992
