Key,Median,IQR
perf_cache_references,0.02,0.02068014705882353
perf_branches,0.020833333333333332,0.010617506671176755
perf_cpu_clock,0.02336448598130841,0.016048120007792717
perf_task_clock,0.024154589371980676,0.05124959353370186
perf_time,0.025510204081632654,0.022246791068924604
perf_branch_misses,0.02617801047120419,0.009736771420897124
perf_instructions,0.027624309392265192,0.012044493777011549
perf_cache_misses,0.027777777777777776,0.02344294100089543
perf_faults,0.027932960893854747,0.016650016650016652
time,0.02857142857142857,0.01479184488166524
perf_L1_dcache_loads,0.03125,0.02727737022936206
energy,0.033783783783783786,0.01572116671126572
weights,0.03424657534246575,0.00878702449383078
perf_cycles,0.03496503496503497,0.01722565609484244
