Key,Median,IQR
perf_cache_misses,2,2.0
weights,3,67.0
perf_faults,6,0.0
perf_task_clock,36,262.0
perf_cpu_clock,37,15.0
perf_branch_misses,162,449.0
perf_branches,175,287.0
perf_cycles,185,415.0
perf_cache_references,204,166.0
energy,241,234.0
perf_L1_dcache_loads,265,18.0
perf_instructions,283,140.0
perf_time,353,351.0
time,362,73.0
