Key,Median,IQR
perf_cpu_clock,0.0061162079510703364,0.023824593128390595
perf_task_clock,0.012084592145015106,0.02638910385389259
weights,0.015625,0.01922563417890521
perf_instructions,0.021015761821366025,0.11162674806117047
perf_faults,0.053231939163498096,0.04170692431561997
perf_cycles,0.10383386581469649,0.04633742705339257
perf_branches,0.13099041533546327,0.21997309197651665
perf_cache_references,0.17563451776649747,0.31726779444621767
perf_L1_dcache_loads,0.1946564885496183,0.4629970771006804
time,0.2169811320754717,0.607474717319103
energy,0.25555555555555554,0.29827062657384096
perf_time,0.3046092184368738,0.26042123738481787
perf_cache_misses,0.42684157416750756,0.3908079063519478
perf_branch_misses,0.47002724795640327,0.45119554536521456
