Item_Name,Normalized_MAD_median_mean,Normalized_MAD_median_median,Normalized_MAD_IQR_mean,Normalized_MAD_IQR_median
energy,0.0968321663285293,0.0855145965549425,0.2299500388441098,0.2337977193766324
perf_L1_dcache_loads,0.12878438009015386,0.1402190374187546,0.22437791942628219,0.2290993177255873
perf_branch_misses,0.12112530345850836,0.1264579731767598,0.1896125762143308,0.1756153645250969
perf_branches,0.16164239857334184,0.1833075336251559,0.2464462342194617,0.2448118494193909
perf_cache_misses,0.07672159039170481,0.0865789631289733,0.159341558689452,0.1520910938187247
perf_cache_references,0.17529241074950164,0.18629465769511,0.2506601854111134,0.2796336126476235
perf_cpu_clock,0.5326620528962994,0.4612093064651001,0.14991786101515517,0.1228806088006255
perf_cycles,0.1451455968299807,0.1696647026887326,0.2103942349715767,0.1914996810602471
perf_faults,0.02485215458626388,0.0222352585280575,0.03628352008450238,0.0397693835866693
perf_instructions,0.13858297517247609,0.1424476459598428,0.25973314440451356,0.2572618695615295
perf_task_clock,0.49833274394204174,0.4276847466848014,0.16542814263829117,0.1307444397557524
perf_time,0.15041248873251306,0.121519156420882,0.24822260640123234,0.2241759755618205
time,0.1685634341147892,0.2101120267288716,0.2520697783300615,0.2569592506212008
weights,0.159268421952567,0.1529663279092913,0.33969136609332234,0.3503134388386261
