Item_Retry,Normalized_MAD_median,Normalized_MAD_mean,Normalized_MAD_std,Normalized_MAD_IQR
energy_1,0.1649092462994794,0.1751126297300509,0.18134765816150894,0.24115669483066668
energy_2,0.0855145965549425,0.15259028843121292,0.1839474844842336,0.1712502957174759
energy_3,0.0601816470984246,0.1796246143391932,0.23436901991676268,0.23379771937663246
energy_4,0.0502140362655964,0.14402428871544912,0.20560450072195252,0.18258364717290332
energy_5,0.1233413054242036,0.1837763604061586,0.19311336201874565,0.32096183712287085
perf_L1_dcache_loads_1,0.156460632695597,0.19657131447509668,0.17774544950651314,0.22909931772558734
perf_L1_dcache_loads_2,0.1402190374187546,0.20505079342970217,0.21385784256785337,0.2351351435109374
perf_L1_dcache_loads_3,0.1206454756047635,0.15860541379261894,0.1796328345414955,0.2080546815400995
perf_L1_dcache_loads_4,0.1465842622352081,0.15979604818559648,0.18053729420539652,0.2112326786496593
perf_L1_dcache_loads_5,0.0800124924964462,0.16477525144935473,0.1849042707770309,0.23836777570512738
perf_branch_misses_1,0.1264579731767598,0.22606183637377056,0.2994052318999558,0.14611249662844777
perf_branch_misses_2,0.1392332233180694,0.22545823516507565,0.31650414357186885,0.12726889056165788
perf_branch_misses_3,0.1160511245205242,0.22014332651957427,0.31282749377479563,0.1756153645250969
perf_branch_misses_4,0.1651373669743062,0.26608159951441224,0.30171589310480085,0.3139020073004318
perf_branch_misses_5,0.0587468293028822,0.1798965120730829,0.2259765313280197,0.18516412205601995
perf_branches_1,0.1868672767000168,0.19667770070685409,0.19314885549593616,0.2645078832420605
perf_branches_2,0.1833075336251559,0.1936977321847625,0.1961565848612428,0.23152048818051643
perf_branches_3,0.1605042766476944,0.20221356279070382,0.21534677623614457,0.26035729911629574
perf_branches_4,0.1873242373021833,0.17940994940377752,0.17807939304004297,0.23103365113904514
perf_branches_5,0.0902086685916588,0.19299608222616024,0.2276644372300729,0.24481184941939094
perf_cache_misses_1,0.095991656162635,0.1546227044313308,0.15265940611599474,0.2351393370777975
perf_cache_misses_2,0.0837140346919959,0.12195465913293822,0.12125007898330115,0.1520910938187247
perf_cache_misses_3,0.0865789631289733,0.12260486104294531,0.12351864523084777,0.17285046057720405
perf_cache_misses_4,0.0288005680223296,0.09654857011129024,0.1212836537497424,0.12131969561317205
perf_cache_misses_5,0.0885227299525903,0.10620467043986195,0.11922145195789896,0.11530720636036171
perf_cache_references_1,0.18629465769511,0.28651172052478624,0.2748815907284087,0.3064578507011635
perf_cache_references_2,0.1356399360086742,0.22983417270754627,0.27600037637441843,0.1767728564222678
perf_cache_references_3,0.1881392520302073,0.25803108560352533,0.2780493112454466,0.28356705729500864
perf_cache_references_4,0.1903503210395854,0.25475368759933703,0.24996430679563064,0.20686954998950371
perf_cache_references_5,0.1760378869739313,0.24005953065341912,0.2663840248780369,0.2796336126476235
perf_cpu_clock_1,1.038713899367245,0.9508302049128325,0.19375054565047312,0.2798064585671314
perf_cpu_clock_2,0.5808617161634156,0.573295710418673,0.1475374942947285,0.200930395865363
perf_cpu_clock_3,0.4612093064651001,0.4792850897620697,0.170752720459273,0.12288060880062551
perf_cpu_clock_4,0.2796008461231857,0.31269002899875825,0.06987855124848585,0.09035602986466928
perf_cpu_clock_5,0.3029244963625511,0.3150091862450062,0.06948002338618628,0.05561581197798676
perf_cycles_1,0.1696647026887326,0.22701607536620375,0.18035660564383896,0.2785651551424744
perf_cycles_2,0.171258225733479,0.1520509624411875,0.12881305490017683,0.18334921620548406
perf_cycles_3,0.1121716888600192,0.17678090241952552,0.18608548818769552,0.16264834958275884
perf_cycles_4,0.0928549348427439,0.1662438996626687,0.19682329303705046,0.19149968106024715
perf_cycles_5,0.1797784320249288,0.19741757667807106,0.17865233624531088,0.2359087728669192
perf_faults_1,0.0400799115355406,0.046910375808556795,0.0425570709495799,0.04025343494240971
perf_faults_2,0.0182999757649026,0.03281294145505906,0.033793149440678634,0.03129877296193155
perf_faults_3,0.0222352585280575,0.032788490757399306,0.03312811647970195,0.03976938358666935
perf_faults_4,0.022745820525837,0.03611378481738538,0.03600231758532999,0.028545757541111397
perf_faults_5,0.0208998065769817,0.03961825085317473,0.04674948268622463,0.04155025139039015
perf_instructions_1,0.1793826825316928,0.19596998006790428,0.1786849630576741,0.2572618695615295
perf_instructions_2,0.1044465832469243,0.18567492725444026,0.20486212111690574,0.27927608525686964
perf_instructions_3,0.1212444085013233,0.15960336186958127,0.16946445929915407,0.20241258589278055
perf_instructions_4,0.1424476459598428,0.14526241271001977,0.14770609603201415,0.20725341893948365
perf_instructions_5,0.1453935556225972,0.22488624133437304,0.25343033466242854,0.3524617623719046
perf_task_clock_1,0.9213485134653064,0.9321539059128677,0.2723876640844024,0.3262548971543219
perf_task_clock_2,0.6379857296613713,0.6202177829624127,0.13871873782519267,0.12128433049576737
perf_task_clock_3,0.4276847466848014,0.4874094772963277,0.22377807926277699,0.20629479812588591
perf_task_clock_4,0.2626094463208788,0.29346491005072567,0.11234255812226587,0.13074443975575245
perf_task_clock_5,0.2420352835778509,0.24403308235644283,0.04031479927324784,0.042562247659728436
perf_time_1,0.1206800998570577,0.18353937908594437,0.1586686694087923,0.22321606642517053
perf_time_2,0.121519156420882,0.17047778132877,0.1860774341111519,0.2130347811725928
perf_time_3,0.1801740639466173,0.1850779622112757,0.18001946444645478,0.24899942104236505
perf_time_4,0.111467233754465,0.17131910659468882,0.2049080133949712,0.2241759755618205
perf_time_5,0.2182218896835434,0.21541551022143618,0.18647748284013096,0.3316867878042128
