item_name,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_mean,median_execution_time_mean,rank_median_execution_time_std,median_execution_time_std,rank_median_execution_time_IQR,median_execution_time_IQR
energy_1,37.0,4.508438924094662,36.90909090909091,5.662032213660528,21.496299893025988,2.7488564118266283,27.5,3.446749151736731
energy_2,53.0,7.323423342546448,46.63636363636363,6.682357232604938,14.644266641062826,3.08759125963949,19.5,4.828288647287991
energy_3,25.0,6.159133723005652,28.818181818181817,5.673776792941763,17.116180542505283,2.0399401342772943,25.5,2.8987831751583144
energy_4,32.0,6.620362005021889,31.363636363636363,6.147583352772265,12.110100967974853,2.5773664257350934,16.5,3.435200814186828
energy_5,53.0,7.318272122065537,49.27272727272727,6.352235529794019,16.715806346634366,2.4738930742552663,29.0,3.9847086900263093
original,63.0,9.650195926078595,46.54545454545455,10.219545242875194,24.929354730372133,4.672245786330081,29.0,5.459252708003987
perf_L1_dcache_loads_1,23.0,4.787187030015048,25.0,5.4988042738696095,17.44706279005151,3.2422434254740615,22.0,4.381464093690738
perf_L1_dcache_loads_2,17.0,4.771008267533034,22.90909090909091,4.962222706947201,15.584957782775964,2.2623725175487865,22.5,3.649235927761765
perf_L1_dcache_loads_3,34.0,6.631005135481246,35.27272727272727,6.4373156147696795,15.956759753100936,3.339068179612814,18.0,3.648692420014413
perf_L1_dcache_loads_4,28.0,6.366976826451719,31.454545454545453,6.220594150768275,14.095131332226998,3.1833978823599205,17.5,3.1979480639274698
perf_L1_dcache_loads_5,43.0,5.103711364499759,34.09090909090909,6.5503517323602205,20.964038472844614,3.786620647517076,38.5,3.677143119246466
perf_branch_misses_1,12.0,4.753583113488276,18.454545454545453,5.21606251981575,15.474906373633646,2.5463508071504943,20.5,3.9223551175236935
perf_branch_misses_2,22.0,4.753941789967939,25.272727272727273,4.922819823582276,18.039350925634263,2.153755062530217,32.0,2.387898686269182
perf_branch_misses_3,27.0,4.86627097701421,24.727272727272727,5.31659700700865,9.747727007778881,2.335290311626773,13.0,3.571289756539045
perf_branch_misses_4,33.0,5.079770628013648,30.181818181818183,5.42757514958926,13.504208098353505,3.223304202866657,11.5,4.647855649527628
perf_branch_misses_5,28.0,6.198284927464556,30.181818181818183,6.443239693051013,21.51658979400863,4.289114268345796,29.0,4.3073148697731085
perf_branches_1,35.0,6.270294248010032,25.0,5.639757594985316,18.558017135459274,3.515544807015971,35.5,4.796670797019033
perf_branches_2,25.0,4.797319594479632,23.727272727272727,4.822739374792119,13.100312279414632,2.4557270308563384,10.5,3.965276608330896
perf_branches_3,39.0,5.9417923996225,36.36363636363637,6.3138426537307994,20.958400355335936,3.7485999000725663,34.5,4.577481273037847
perf_branches_4,28.0,6.120876871049404,32.09090909090909,6.4954059540442275,16.597918818059963,3.870219064028832,23.5,4.480433300283039
perf_branches_5,37.0,6.1311583944479935,34.54545454545455,6.3565056042094845,15.513630370507325,3.20127097691379,17.0,3.4815814887697343
perf_cache_misses_1,22.0,6.555251545039937,26.09090909090909,5.819726806676375,18.67326723128304,2.782046606627731,32.0,3.6292278975161016
perf_cache_misses_2,28.0,5.873265847447328,30.272727272727273,6.291957949677123,16.29165988529658,3.322796938574049,28.5,2.857063739502337
perf_cache_misses_3,30.0,6.72550328244688,34.81818181818182,6.153005521080393,17.565979516202226,3.3889323254667705,27.0,4.875430521497037
perf_cache_misses_4,46.0,7.05013056693133,37.54545454545455,7.195167577857236,20.437043016853668,3.94245475127562,28.5,4.954349152976647
perf_cache_misses_5,43.0,5.781911764002871,36.0,6.219686654705914,20.923670806051216,3.281868439389146,37.5,2.7370437984645832
perf_cache_references_1,11.0,4.4469417149957735,13.909090909090908,4.757240555038317,10.802356645237607,2.172208270470599,10.5,3.240619677504583
perf_cache_references_2,16.0,5.09918906398525,22.09090909090909,5.123354895132996,16.783650052682493,2.067015503077069,31.0,2.7679443132383312
perf_cache_references_3,33.0,5.103604781499598,32.63636363636363,5.2214467980930666,15.730688015930692,2.2383307658669382,23.0,3.1053493159852223
perf_cache_references_4,23.0,4.750474756991025,23.272727272727273,5.542376299952263,15.614678409054147,2.9584417687232643,23.5,3.4942528467363445
perf_cache_references_5,36.0,5.1192849015351385,36.63636363636363,5.719587368557272,14.354600149587778,2.974473485228522,25.5,3.7176756675180513
perf_cpu_clock_1,65.0,8.827513726544566,64.27272727272727,10.840397600296207,4.880387465988927,5.242530201060555,4.5,5.658873789128847
