number_of_retries,total_decreases,average_decrease_percentage_per_step,proportion_of_decreases,std_deviation_of_decreases,proportion_of_large_decreases
1,8.0,0.050032964274779546,0.0123205363354626,6405099.463477126,0.2
2,7.0,0.056347258500546143,0.017763340718765203,6695707.641474852,0.2
3,6.0,0.05207227345387505,0.02509603879337485,3609313.0219963007,0.2
4,6.0,0.0496600974650772,0.030319279323446448,2905318.2889830004,0.25
5,5.5,0.06424473234627975,0.0365185185185185,1203209.9890780265,0.25
