number_of_retries,mean_percentage_decrease,median_percentage_decrease,std_deviation,iqr
1,0.0,0.0,0.0,0.0
2,31.872869960978708,34.838461538461544,24.644683595222364,38.10869980357922
3,52.863189967562896,60.066297889936536,22.299766329982017,25.650495507809367
4,64.73209434423977,69.9346971798428,19.57501844068229,21.00109770420117
5,72.39928313444118,75.58431283905966,15.14475287161045,15.633423430585367
