item_name_orig,mean_median_execution_time_median,rank_median,mean_median_execution_time_mean,rank_mean,mean_median_execution_time_std,rank_std,mean_median_execution_time_IQR,rank_IQR
energy,6.207983076485107,11.0,6.103597024354702,8.818181818181818,2.1191735597509833,3.4876405152533083,3.2444369025586637,6.0
original,9.650195926078595,13.0,10.219545242875194,11.090909090909092,4.672245786330081,5.1856445202991965,5.459252708003987,3.0
perf_L1_dcache_loads,5.992396912397817,7.0,5.933857695742997,6.363636363636363,2.704979726767599,3.35477949417625,3.7589845542854174,4.0
perf_branch_misses,5.752792942768428,5.0,5.46525883860939,5.090909090909091,2.3242876326482715,2.6628760937957834,3.496905414154753,5.0
perf_branches,6.219342604919802,7.0,5.925650236352388,6.454545454545454,3.0666144525444996,3.6156226673599767,4.637151794933016,6.0
perf_cache_misses,7.018459895369597,8.0,6.335908901999408,6.545454545454546,2.7093713428029678,3.6976651109487015,3.7799684130877704,5.5
perf_cache_references,4.635413910000352,5.0,5.272801183354783,5.181818181818182,2.31817164974465,2.482667187449088,3.5178606589990515,3.0
perf_cpu_clock,8.850751713733189,14.0,10.28971765731165,13.909090909090908,3.634255975866127,1.2210278829367864,3.6830758969648727,1.5
perf_cycles,6.148349700393737,4.0,5.483026502429691,4.363636363636363,2.3114245585083806,2.73030134866931,3.4482113985992324,4.5
perf_faults,7.283835018984973,12.0,7.638773085457928,10.909090909090908,4.310075800170558,3.3898243451407755,4.5006284274160855,3.5
perf_instructions,6.483646020386368,7.0,6.013509701125812,6.545454545454546,2.9291373342079097,2.6967994498529686,4.19015315270517,3.0
perf_task_clock,9.871173580153846,14.0,10.750569877047514,13.454545454545455,4.351507307064982,1.5075567228888178,5.55834904256044,3.0
perf_time,5.656813320505899,7.0,5.903233907653836,5.7272727272727275,2.659504961134892,3.0030287741181936,3.9242650711967144,5.0
time,5.171552989599149,4.0,5.514735090887701,5.090909090909091,2.489388401425883,3.330301651638946,3.390311888805445,5.0
weights,6.961646543710958,12.0,6.864279748369114,10.454545454545455,2.296551753767914,3.3871414603950734,2.800439350315136,3.0
