Item_Retry,Normalized_MAD
time_1,0.019046593344699356
time_2,0.01548550810008046
time_3,0.015510855471908816
time_4,0.028273810140341468
time_5,0.01163921589952506
perf_time_1,0.02141375578054829
perf_time_2,0.02047569825741914
perf_time_3,0.017100995170096008
perf_time_4,0.012876275084169688
perf_time_5,0.012168566326806227
perf_instructions_1,0.020908262003582572
perf_instructions_2,0.010597433319234998
perf_instructions_3,0.009690848784516237
perf_instructions_4,0.00693952107013653
perf_instructions_5,0.007477044319871955
perf_cycles_1,0.02959288402380127
perf_cycles_2,0.02748925222205033
perf_cycles_3,0.01857858405723054
perf_cycles_4,0.025250484014194385
perf_cycles_5,0.01193063905964828
perf_cache_references_1,0.027186914554100928
perf_cache_references_2,0.020121103388168096
perf_cache_references_3,0.019581105259952766
perf_cache_references_4,0.0160139912528664
perf_cache_references_5,0.016852557567007345
perf_cache_misses_1,0.03910902528468003
perf_cache_misses_2,0.029378277929042098
perf_cache_misses_3,0.03360741909020006
perf_cache_misses_4,0.027152643667071957
perf_cache_misses_5,0.022931721735728248
perf_branches_1,0.01579454325606424
perf_branches_2,0.011577744876943808
perf_branches_3,0.009294094101735473
perf_branches_4,0.009671834368189258
perf_branches_5,0.005492756853694182
perf_branch_misses_1,0.0159355771300258
perf_branch_misses_2,0.009950171823892557
perf_branch_misses_3,0.011085751498916307
perf_branch_misses_4,0.007786368586180921
perf_branch_misses_5,0.008296969051152767
perf_cpu_clock_1,0.7559576209469171
perf_cpu_clock_2,0.4226788815613926
perf_cpu_clock_3,0.26914300510784134
perf_cpu_clock_4,0.3070320843278004
perf_cpu_clock_5,0.2610146957664875
perf_task_clock_1,0.5774770664619817
perf_task_clock_2,0.4690889000363563
perf_task_clock_3,0.24507729590497984
perf_task_clock_4,0.30438333392843686
perf_task_clock_5,0.22177749290087184
perf_faults_1,0.02237082561877992
perf_faults_2,0.012469531701886406
perf_faults_3,0.009900375760496872
perf_faults_4,0.007686527217668243
perf_faults_5,0.008146864194194685
weights_2,0.08161499366709596
weights_4,0.027134157770951104
weights_1,0.09607940069655771
weights_3,0.013257663844596621
weights_5,0.011432987432925123
energy_1,0.0345275406871208
energy_2,0.038292429760106494
energy_3,0.038880708384209796
energy_4,0.03969355362120485
energy_5,0.052390281759167406
perf_L1_dcache_loads_1,0.01820745200970143
perf_L1_dcache_loads_2,0.014238508821407925
perf_L1_dcache_loads_3,0.013139176617813676
perf_L1_dcache_loads_4,0.00939349685862988
perf_L1_dcache_loads_5,0.007633008498806119
