Key,Median,IQR
perf_branches,0.010416666666666666,0.005180533751962325
perf_faults,0.010638297872340425,0.007077991452991452
perf_cache_misses,0.011111111111111112,0.006010230179028133
time,0.011627906976744186,0.006473214285714285
perf_instructions,0.011764705882352941,0.008064516129032258
perf_cycles,0.011904761904761904,0.009086778736937754
perf_L1_dcache_loads,0.012195121951219513,0.0071301247771836
perf_cache_references,0.0125,0.006925373134328358
perf_branch_misses,0.01282051282051282,0.005050505050505052
perf_cpu_clock,0.027777777777777776,0.0667068515169781
perf_task_clock,0.05154639175257732,0.041310541310541314
energy,0.11666666666666667,0.15865504358655041
perf_time,0.1485148514851485,0.10298319048568201
weights,0.1590909090909091,0.0802744425385935
