Item_Retry,Normalized_MAD
energy_5,0.005492761142875521
perf_branches_3,0.006597305139997891
perf_faults_1,0.06326025827582683
perf_faults_3,0.04241545663223974
perf_faults_4,0.024179983794451236
perf_faults_5,0.02089980657698171
perf_cpu_clock_1,0.8885642032163013
perf_cpu_clock_2,0.5808617161634156
perf_cpu_clock_3,0.40822044972631244
perf_cpu_clock_4,0.2700615258334931
perf_cpu_clock_5,0.29093512382388304
perf_task_clock_1,1.1202945135186255
perf_task_clock_2,0.6710967240016187
perf_task_clock_3,0.4276847466848014
perf_task_clock_4,0.5180755968880066
perf_task_clock_5,0.21151461111028486
time_1,0.0057910003095226585
time_2,0.005182512188657893
time_3,0.005415852683234843
time_4,0.004477256772522956
time_5,0.0030257835388301756
perf_time_1,0.00789333903264398
perf_time_3,0.0054467934610047
perf_time_4,0.004377674701452357
perf_time_5,0.0028767397867804074
perf_cycles_1,0.011903125055181558
perf_cycles_2,0.008105907344201748
perf_cycles_3,0.005347293585870364
perf_cycles_5,0.006649632433638016
perf_cache_references_1,0.01773613484141274
perf_cache_references_2,0.011802724073045721
perf_time_2,0.0062264907710161
perf_cycles_4,0.005493214452455505
perf_cache_references_3,0.013642010017499404
perf_cache_references_4,0.005586066081803734
perf_cache_references_5,0.008048016066048092
perf_cache_misses_1,0.029523944704713947
perf_cache_misses_2,0.015750555592411026
perf_cache_misses_3,0.01583999925924134
perf_cache_misses_4,0.011335684363677042
perf_cache_misses_5,0.0155338354151305
perf_branch_misses_1,0.013218576749946497
perf_branch_misses_2,0.0059076121276319905
perf_branch_misses_3,0.005976523257335282
perf_branch_misses_4,0.006340519495597253
perf_branch_misses_5,0.00400461073507658
energy_3,0.009010254750631112
energy_4,0.006659819999180382
perf_instructions_1,0.01116499340729084
perf_instructions_2,0.008149033089234405
perf_instructions_3,0.007326331828568499
perf_instructions_5,0.004721885682290023
perf_branches_1,0.010972951794637885
perf_branches_2,0.008279416532540933
perf_branches_4,0.004684738494515234
perf_branches_5,0.004508586965547457
weights_1,0.05969682965297823
weights_2,0.02905341270331496
weights_3,0.02886040254969948
weights_4,0.01495790002436934
perf_L1_dcache_loads_1,0.015759996079950996
perf_L1_dcache_loads_2,0.009614244235800535
perf_L1_dcache_loads_3,0.005049532639593977
perf_L1_dcache_loads_4,0.003908289173151894
perf_L1_dcache_loads_5,0.0067993795546622045
perf_faults_2,0.05536189655081095
energy_1,0.012289836977670578
energy_2,0.01215463786885274
perf_instructions_4,0.0029460609271894844
weights_5,0.027965417925782495
