Item_Retry,Normalized_MAD
energy_2,0.041492425357685575
energy_5,0.057343964990725985
perf_branches_3,0.053754629123659824
weights_5,0.5333131991040202
perf_faults_1,0.04007991153554066
perf_faults_3,0.019958992962969536
perf_faults_4,0.019718207731999216
perf_faults_5,0.02375547254550436
perf_cpu_clock_1,1.0879473957513432
perf_cpu_clock_2,0.39366928350925773
perf_cpu_clock_3,0.3965512644692797
perf_cpu_clock_4,0.36965895062365356
perf_cpu_clock_5,0.30039513862247746
perf_task_clock_1,0.7197061618019737
perf_task_clock_2,0.3989709631022219
perf_task_clock_3,0.4728253352676897
perf_task_clock_4,0.2999840112911907
perf_task_clock_5,0.24463039314303459
time_1,0.11858871889030789
time_2,0.041636274857810865
time_3,0.040980167627386085
time_4,0.23572621874350305
time_5,0.05549648751571273
perf_time_1,0.0497468110177301
perf_time_3,0.04706454582459695
perf_time_4,0.03778111908530065
perf_time_5,0.0355701175319721
perf_cycles_1,0.39868104508668806
perf_cycles_2,0.03828925871810634
perf_cycles_3,0.04145461601519319
perf_cycles_5,0.14906377670499096
perf_cache_references_1,0.06987546658000394
perf_cache_references_2,0.0650930589599211
perf_time_2,0.04449618526105066
perf_cycles_4,0.045028529564398866
perf_cache_references_3,0.058505755798929325
perf_cache_references_4,0.11571755514019448
perf_cache_references_5,0.05977583455860886
perf_cache_misses_1,0.09599165616263505
perf_cache_misses_2,0.12106816644769625
perf_cache_misses_3,0.08657896312897331
perf_cache_misses_4,0.028800568022329696
perf_cache_misses_5,0.13704485110418965
perf_branch_misses_1,0.036628914803037683
perf_branch_misses_2,0.03464257264806095
perf_branch_misses_3,0.032552654538665377
perf_branch_misses_4,0.18487399689615452
perf_branch_misses_5,0.046863443237961815
energy_3,0.04872214422988397
energy_4,0.05021403626559648
perf_instructions_1,0.16333989307160998
perf_instructions_2,0.04974334738487669
perf_instructions_4,0.04516391723304045
perf_instructions_3,0.05757303843896093
perf_instructions_5,0.03895216188592582
perf_branches_1,0.18686727670001682
perf_branches_2,0.18330753362515592
perf_branches_4,0.041515046768349315
perf_branches_5,0.06539744445272065
weights_1,1.0236979308882428
weights_2,0.6382749918931035
weights_3,0.5061348282114891
weights_4,0.5001048391365862
perf_L1_dcache_loads_1,0.05764300741555509
perf_L1_dcache_loads_2,0.038208161104587086
perf_L1_dcache_loads_3,0.04061626562193572
perf_L1_dcache_loads_4,0.048234891029952494
perf_L1_dcache_loads_5,0.03759188170787143
perf_faults_2,0.02833243500712294
energy_1,0.0465049888239107
