Item_Retry,Normalized_MAD
energy_1,0.019096786385816734
energy_2,0.019003268273125457
energy_5,0.009734812112762713
perf_branches_3,0.34109257038098806
weights_5,0.07737457399370294
perf_faults_1,0.15133879733732597
perf_faults_3,0.11150258191075654
perf_faults_4,0.11295927723451014
perf_faults_5,0.14300353005192748
perf_cpu_clock_1,1.1565341270253917
perf_cpu_clock_2,0.7796359617063692
perf_cpu_clock_3,0.5094154487534412
perf_cpu_clock_4,0.3097658506577588
perf_cpu_clock_5,0.2727003086821022
perf_task_clock_1,1.158650801083544
perf_task_clock_2,0.7131936089723352
perf_task_clock_3,0.6910587629436186
perf_task_clock_4,0.34333709060523604
perf_task_clock_5,0.3101920743454229
time_1,0.19285569807078545
time_2,0.2213272868086724
time_3,0.2598710958309419
time_4,0.27678681639820324
time_5,0.3694846051486059
perf_time_1,0.2975273737888939
perf_time_3,0.3349759637156072
perf_time_4,0.2528764280328493
perf_time_5,0.4229495937370072
perf_cycles_1,0.28195289925167555
perf_cycles_2,0.21723482226387988
perf_cycles_3,0.18579938008450708
perf_cycles_5,0.29444253981492646
perf_cache_references_1,0.1750762803481266
perf_cache_references_2,0.13563993600867422
perf_time_2,0.2274839470989406
perf_cycles_4,0.23732521874723955
perf_cache_references_3,0.18813925203020732
perf_cache_references_4,0.1904903660710268
perf_cache_references_5,0.1760378869739313
perf_cache_misses_1,0.3624293948825488
perf_cache_misses_2,0.3152622885816321
perf_cache_misses_3,0.35223691832744425
perf_cache_misses_4,0.26949196852195134
perf_cache_misses_5,0.36815759591731423
perf_branch_misses_1,0.1926192371435426
perf_branch_misses_2,0.1792304948969863
perf_branch_misses_3,0.17669630270036382
perf_branch_misses_4,0.23647784900788815
perf_branch_misses_5,0.17494598405074277
energy_3,0.012393471137405049
energy_4,0.008568914475635653
perf_instructions_1,0.2845719359836407
perf_instructions_2,0.3614269551760375
perf_instructions_4,0.254023089495498
perf_instructions_3,0.31620193527537976
perf_instructions_5,0.4009768092388113
perf_branches_1,0.2860660253617948
perf_branches_2,0.27340935867502
perf_branches_4,0.3243535662929242
perf_branches_5,0.3627285667454554
weights_1,0.15296632790929132
weights_2,0.12285016358859664
weights_4,0.05488837238256224
perf_L1_dcache_loads_1,0.26424216364307834
perf_L1_dcache_loads_2,0.2580897650452525
perf_L1_dcache_loads_3,0.31614327079533266
perf_L1_dcache_loads_4,0.3002781101565589
perf_L1_dcache_loads_5,0.31922773816691485
perf_faults_2,0.1044201453744231
weights_3,0.1284106496299371
