Key,Median_Largest_Improvement
weights,1.0
time,2
perf_time,2
perf_instructions,2
perf_cycles,2
perf_cache_references,2
perf_cache_misses,2
perf_branches,2
perf_branch_misses,2
perf_faults,2
energy,2.0
perf_L1_dcache_loads,2
perf_task_clock,6.5
perf_cpu_clock,7
