Key,Median,IQR
perf_time,0.004228329809725159,0.004838709677419355
time,0.004291845493562232,0.001332249469358262
perf_L1_dcache_loads,0.005249343832020997,0.002306123478499002
perf_instructions,0.005390835579514825,0.003385573958101536
perf_cycles,0.005698005698005698,0.00449493623555057
perf_cache_references,0.005714285714285714,0.0015812776723592662
perf_cache_misses,0.0058309037900874635,0.006145101834881279
perf_branch_misses,0.0058997050147492625,0.005416020671834625
perf_branches,0.005917159763313609,0.0049768806532445205
perf_faults,0.007326007326007326,0.006603617839201907
energy,0.008928571428571428,0.008468636006008154
weights,0.013793103448275862,0.07292244407469033
perf_task_clock,0.015432098765432098,0.2391938911332695
perf_cpu_clock,0.029239766081871343,0.20922827172827174
