Key,Median,IQR
time,0.007633587786259542,0.007129102844638949
perf_instructions,0.007761966364812419,0.004471204188481676
perf_branch_misses,0.008287292817679558,0.004968921389396709
perf_branches,0.008298755186721992,0.006605042016806723
perf_L1_dcache_loads,0.008733624454148471,0.004084033613445379
perf_cycles,0.009538950715421303,0.007452914798206279
perf_time,0.009615384615384616,0.008476091166393564
perf_task_clock,0.011406844106463879,0.02177038078200869
perf_cache_misses,0.012024048096192385,0.012151133501259445
perf_cpu_clock,0.015384615384615385,0.051795164550321696
perf_faults,0.017699115044247787,0.028596730245231607
perf_cache_references,0.01856763925729443,0.013792074720458052
weights,0.1724137931034483,0.34457478005865105
energy,0.175,0.19964932787843365
