Item_Retry,Normalized_MAD
time_1,0.011482712000046648
time_2,0.007620769555691762
time_3,0.008450432638968134
time_5,0.003980410691168593
perf_time_1,0.012700809306582322
perf_time_2,0.008133134019313103
perf_time_3,0.007131488041924718
perf_time_4,0.006023655410938684
perf_time_5,0.003562994964729599
perf_instructions_1,0.010992614954639955
perf_instructions_2,0.0060135119545698555
perf_instructions_3,0.005044763637267326
perf_instructions_4,0.00540425547425662
perf_instructions_5,0.0040529851842700014
perf_cycles_1,0.014225499127159837
perf_cycles_2,0.009098423735875275
perf_cycles_3,0.006950910998199517
perf_cycles_4,0.007444852879228047
perf_cycles_5,0.006502791756683249
perf_cache_references_1,0.016104557440506498
perf_cache_references_2,0.011500358995065301
perf_cache_references_3,0.008736552852538361
perf_cache_references_4,0.009731497448784222
perf_cache_references_5,0.00396952363866922
perf_cache_misses_1,0.02026670613208248
perf_cache_misses_2,0.014622823303952735
perf_cache_misses_3,0.011954398377076266
perf_cache_misses_5,0.009506556780684806
perf_branches_1,0.008696083484546575
perf_branches_2,0.0073776777972076124
perf_branches_3,0.006315324052589183
perf_branches_4,0.0036157513280406857
perf_branch_misses_1,0.009499676998770763
perf_branch_misses_2,0.006885625429944105
perf_branch_misses_3,0.004530233237732736
perf_branch_misses_4,0.0034030172761887623
perf_branch_misses_5,0.004205206008807908
perf_cpu_clock_1,0.014259539743491511
perf_cpu_clock_2,0.008892200088278195
perf_cpu_clock_3,0.00863371493291997
perf_cpu_clock_4,0.00726276503460533
perf_cpu_clock_5,0.006515331122832141
perf_task_clock_1,0.013159044317201824
perf_task_clock_2,0.007661013357729618
perf_task_clock_3,0.006749866680320602
perf_task_clock_4,0.0057738116809252695
perf_task_clock_5,0.008434655092606857
perf_faults_1,0.027106742947752553
perf_faults_2,0.028414772255409355
perf_faults_3,0.01704609948774336
perf_faults_4,0.019488574788004646
perf_faults_5,0.018609915166281212
weights_1,0.03011728082306329
weights_2,0.053060994928696675
weights_3,0.0415209799551702
perf_L1_dcache_loads_3,0.006278080689589913
time_4,0.003759111594807021
perf_cache_misses_4,0.011848243122740314
perf_branches_5,0.004296838983464489
weights_4,0.01584844700636929
weights_5,0.020597748819140584
energy_1,0.02102702908196933
energy_2,0.01962561821001008
energy_3,0.013971489715646292
energy_4,0.012067022367730938
energy_5,0.010153991176069249
perf_L1_dcache_loads_1,0.009754955172005319
perf_L1_dcache_loads_2,0.00605851435035187
perf_L1_dcache_loads_4,0.004183337377131227
perf_L1_dcache_loads_5,0.0037153246742171373
