Key,Median,IQR
perf_time,0.028037383177570093,0.022468251383914038
time,0.03,0.028723404255319152
perf_cycles,0.030927835051546393,0.014480646059593427
perf_cache_references,0.03125,0.025721237400069513
perf_instructions,0.03225806451612903,0.025788777630833173
perf_branch_misses,0.03296703296703297,0.018801410105757935
perf_L1_dcache_loads,0.03529411764705882,0.02067299087166637
perf_cache_misses,0.03571428571428571,0.020263157894736844
energy,0.03614457831325301,0.02990430622009569
perf_branches,0.036585365853658534,0.032035928143712575
perf_cpu_clock,0.0379746835443038,0.008527994067482392
perf_task_clock,0.045454545454545456,0.023646071700991606
weights,0.05660377358490566,0.0547008547008547
perf_faults,0.08163265306122448,0.06181181181181182
