item_name,number_of_steps,number_of_retries,percentage_decrease
weights,79,1,0
weights,36,2,54.43037974683544
weights,31,3,60.75949367088608
weights,27,4,65.82278481012658
weights,23,5,70.88607594936708
energy,158,1,0
energy,117,2,25.949367088607595
energy,86,3,45.56962025316456
energy,66,4,58.22784810126582
energy,61,5,61.39240506329114
perf_L1_dcache_loads,209,1,0
perf_L1_dcache_loads,155,2,25.837320574162682
perf_L1_dcache_loads,137,3,34.44976076555024
perf_L1_dcache_loads,109,4,47.84688995215311
perf_L1_dcache_loads,85,5,59.33014354066985
time,255,1,0
time,167,2,34.509803921568626
time,120,3,52.94117647058824
time,76,4,70.19607843137254
time,70,5,72.54901960784314
perf_time,354,1,0
perf_time,194,2,45.19774011299435
perf_time,127,3,64.12429378531074
perf_time,90,4,74.57627118644068
perf_time,63,5,82.20338983050848
perf_instructions,322,1,0
perf_instructions,179,2,44.409937888198755
perf_instructions,111,3,65.527950310559
perf_instructions,84,4,73.91304347826086
perf_instructions,63,5,80.43478260869566
perf_cycles,297,1,0
perf_cycles,158,2,46.801346801346796
perf_cycles,117,3,60.60606060606061
perf_cycles,106,4,64.3097643097643
perf_cycles,58,5,80.47138047138047
perf_cache_references,282,1,0
perf_cache_references,181,2,35.815602836879435
perf_cache_references,121,3,57.09219858156028
perf_cache_references,85,4,69.8581560283688
perf_cache_references,70,5,75.177304964539
perf_cache_misses,364,1,0
perf_cache_misses,177,2,51.373626373626365
perf_cache_misses,111,3,69.5054945054945
perf_cache_misses,96,4,73.62637362637363
perf_cache_misses,62,5,82.96703296703298
perf_branches,310,1,0
perf_branches,193,2,37.74193548387097
perf_branches,97,3,68.70967741935485
perf_branches,74,4,76.12903225806451
perf_branches,63,5,79.6774193548387
perf_branch_misses,306,1,0
perf_branch_misses,160,2,47.712418300653596
perf_branch_misses,115,3,62.41830065359477
perf_branch_misses,93,4,69.6078431372549
perf_branch_misses,61,5,80.06535947712419
perf_cpu_clock,189,1,0
perf_cpu_clock,104,2,44.97354497354497
perf_cpu_clock,108,3,42.857142857142854
perf_cpu_clock,113,4,40.21164021164021
perf_cpu_clock,54,5,71.42857142857143
perf_task_clock,188,1,0
perf_task_clock,159,2,15.425531914893616
perf_task_clock,70,3,62.76595744680851
perf_task_clock,90,4,52.12765957446809
perf_task_clock,77,5,59.04255319148937
perf_faults,267,1,0
perf_faults,148,2,44.569288389513105
perf_faults,57,3,78.65168539325843
perf_faults,56,4,79.02621722846442
perf_faults,44,5,83.52059925093633
weights,241,1,0
weights,112,2,53.52697095435685
weights,69,3,71.36929460580913
weights,54,4,77.59336099585063
weights,47,5,80.49792531120332
energy,256,1,0
energy,165,2,35.546875
energy,101,3,60.546875
energy,73,4,71.484375
energy,56,5,78.125
perf_L1_dcache_loads,338,1,0
perf_L1_dcache_loads,195,2,42.30769230769231
perf_L1_dcache_loads,103,3,69.5266272189349
perf_L1_dcache_loads,93,4,72.48520710059172
perf_L1_dcache_loads,60,5,82.24852071005917
time,662,1,0
time,333,2,49.69788519637463
time,216,3,67.37160120845923
time,156,4,76.43504531722054
time,119,5,82.02416918429003
perf_time,560,1,0
perf_time,290,2,48.214285714285715
perf_time,163,3,70.89285714285715
perf_time,166,4,70.35714285714286
perf_time,156,5,72.14285714285714
perf_instructions,576,1,0
perf_instructions,393,2,31.770833333333332
perf_instructions,252,3,56.25
perf_instructions,162,4,71.875
perf_instructions,119,5,79.34027777777779
perf_cycles,681,1,0
perf_cycles,323,2,52.56975036710719
perf_cycles,201,3,70.48458149779736
perf_cycles,155,4,77.23935389133626
perf_cycles,112,5,83.55359765051395
perf_cache_references,463,1,0
perf_cache_references,264,2,42.98056155507559
perf_cache_references,228,3,50.75593952483801
perf_cache_references,145,4,68.68250539956804
perf_cache_references,115,5,75.16198704103671
perf_cache_misses,517,1,0
perf_cache_misses,350,2,32.30174081237911
perf_cache_misses,217,3,58.027079303675045
perf_cache_misses,121,4,76.59574468085107
perf_cache_misses,121,5,76.59574468085107
perf_branches,745,1,0
perf_branches,306,2,58.92617449664429
perf_branches,228,3,69.39597315436241
perf_branches,172,4,76.91275167785236
perf_branches,142,5,80.93959731543625
perf_branch_misses,623,1,0
perf_branch_misses,304,2,51.20385232744783
perf_branch_misses,204,3,67.25521669341894
perf_branch_misses,170,4,72.71268057784911
perf_branch_misses,120,5,80.73836276083468
perf_cpu_clock,605,1,0
perf_cpu_clock,230,2,61.98347107438017
perf_cpu_clock,195,3,67.76859504132231
perf_cpu_clock,139,4,77.02479338842976
perf_cpu_clock,118,5,80.49586776859505
perf_task_clock,621,1,0
perf_task_clock,271,2,56.36070853462157
perf_task_clock,190,3,69.40418679549114
perf_task_clock,45,4,92.7536231884058
perf_task_clock,100,5,83.89694041867955
perf_faults,475,1,0
perf_faults,271,2,42.94736842105264
perf_faults,187,3,60.631578947368425
perf_faults,166,4,65.05263157894737
perf_faults,105,5,77.89473684210526
weights,405,1,0
weights,178,2,56.04938271604938
weights,138,3,65.92592592592592
weights,99,4,75.55555555555556
weights,85,5,79.01234567901234
energy,412,1,0
energy,206,2,50.0
energy,132,3,67.96116504854369
energy,139,4,66.2621359223301
energy,87,5,78.88349514563106
perf_L1_dcache_loads,692,1,0
perf_L1_dcache_loads,265,2,61.70520231213873
perf_L1_dcache_loads,210,3,69.65317919075144
perf_L1_dcache_loads,193,4,72.10982658959537
perf_L1_dcache_loads,144,5,79.1907514450867
time,223,1,0
time,153,2,31.390134529147986
time,107,3,52.01793721973094
time,83,4,62.78026905829597
time,71,5,68.16143497757847
perf_time,259,1,0
perf_time,203,2,21.62162162162162
perf_time,122,3,52.8957528957529
perf_time,103,4,60.231660231660236
perf_time,86,5,66.79536679536679
perf_instructions,198,1,0
perf_instructions,144,2,27.27272727272727
perf_instructions,104,3,47.474747474747474
perf_instructions,77,4,61.111111111111114
perf_instructions,66,5,66.66666666666666
perf_cycles,188,1,0
perf_cycles,167,2,11.170212765957446
perf_cycles,101,3,46.27659574468085
perf_cycles,78,4,58.51063829787234
perf_cycles,74,5,60.63829787234043
perf_cache_references,218,1,0
perf_cache_references,148,2,32.11009174311927
perf_cache_references,100,3,54.12844036697248
perf_cache_references,81,4,62.84403669724771
perf_cache_references,68,5,68.80733944954129
perf_cache_misses,203,1,0
perf_cache_misses,138,2,32.01970443349754
perf_cache_misses,104,3,48.76847290640394
perf_cache_misses,81,4,60.09852216748769
perf_cache_misses,73,5,64.03940886699507
perf_branches,199,1,0
perf_branches,120,2,39.698492462311556
perf_branches,118,3,40.7035175879397
perf_branches,78,4,60.80402010050251
