retry,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_mean,median_execution_time_mean,rank_median_execution_time_std,median_execution_time_std,rank_median_execution_time_IQR,median_execution_time_IQR
1,36.0,5.811676553013967,32.95454545454545,6.265240534249694,21.752938917567093,3.6618716804777844,31.5,6.375809305503992
2,33.0,5.631741204444552,30.272727272727273,6.3468962259914825,16.376878924592035,3.2985991995966986,22.25,5.542159656509732
3,34.5,5.647808785986854,33.36363636363637,6.560583197986875,18.477801720128497,3.3983586400403403,22.75,5.592225068861602
4,35.0,5.654541187774157,33.90909090909091,6.608919461331366,16.611165446561035,3.357643118917548,20.75,5.556671264376522
5,37.0,5.8949865047761705,34.04545454545455,6.721936110005973,16.3700216625692,3.314146633691678,17.5,5.476772281997
