number_of_retries,mean_percentage_decrease,median_percentage_decrease,std_deviation,iqr
1,0.0,0.0,0.0,0.0
2,30.70855860116955,30.650424407431135,19.255030795712944,28.469738932223475
3,47.53672552777863,48.91475288512685,20.62747543728258,29.108005879811337
4,59.336135159625954,60.95756560580681,18.580788000924553,23.51737335162707
5,67.4869710603904,68.86869030090233,16.236732411179013,20.73249566270114
