Item_Name,Normalized_MAD_median_mean,Normalized_MAD_median_median,Normalized_MAD_IQR_mean,Normalized_MAD_IQR_median
energy,0.1571878678815401,0.155268535768937,0.266990499241312,0.2661475920043832
perf_L1_dcache_loads,0.17405479251341258,0.1658730532104812,0.1978405836910911,0.1996979614910083
perf_branch_misses,0.14469089106840688,0.142954856015478,0.30129173780690516,0.3242061922676681
perf_branches,0.18817335709272828,0.1980940530225497,0.30667884647299737,0.3293654627554354
perf_cache_misses,0.1645843823129281,0.1672565797384803,0.27022242488133663,0.2611253933943464
perf_cache_references,0.16251696839231253,0.1661136803282062,0.2203949776775671,0.2185814308274632
perf_cpu_clock,0.3896298357538643,0.3290118543059825,0.13379903316058872,0.1239922822439669
perf_cycles,0.15487401539285242,0.1473347104757291,0.287852738983592,0.271424970319423
perf_faults,0.03040287825022388,0.030891155000636,0.054566787364447665,0.0423482735739438
perf_instructions,0.19852969120999703,0.2106903198885614,0.3061792796960668,0.3176524575868361
perf_task_clock,0.41514869405571897,0.3135783523600605,0.17498186922192546,0.154617755649239
perf_time,0.1939132856409159,0.203496023805386,0.31993592935667514,0.3136782472515708
time,0.16390391181470934,0.1664513327563489,0.31103050292696066,0.3408943940703692
weights,0.18725391292235968,0.1736775658375853,0.29710878894703174,0.2762789440207248
