Retry_Number,Normalized_MAD_median_mean,Normalized_MAD_median_median,Normalized_MAD_IQR_mean,Normalized_MAD_IQR_median
1,0.27165548649439925,0.2122067907916803,0.24971979459303825,0.26835093645172287
2,0.2439997665989302,0.20479129284610875,0.249046259722078,0.2658472290542389
3,0.19600940288369867,0.1919501789182663,0.2183132753877873,0.25935731991106503
4,0.19850936242601197,0.19878380200923554,0.23514083279743433,0.2710435886138669
5,0.17511945106456925,0.1736869884845419,0.21587016756166832,0.24579218619386262
