item_name,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_mean,median_execution_time_mean,rank_median_execution_time_std,median_execution_time_std,rank_median_execution_time_IQR,median_execution_time_IQR
perf_cycles_1,22.0,4.7128244725754485,22.90909090909091,5.461141096923608,19.639014972521128,3.765592110248899,33.0,6.889561879967005
perf_time_1,7.0,5.051468198071234,16.272727272727273,5.547420114468289,21.77655119200885,3.697549340131032,11.5,6.733199301979312
time_1,26.0,4.714770254446194,23.363636363636363,5.797727104831934,18.9011784144414,3.312932516295097,22.5,6.018419309028673
perf_cache_misses_2,25.0,4.913235105981585,26.90909090909091,5.815369001220042,18.140862964338524,3.468031738602396,20.0,6.765970473493809
perf_time_2,30.0,5.604399725503754,29.454545454545453,5.901545833972666,15.338602520201352,3.3468166155356123,23.5,6.270668020503976
time_4,18.0,5.442178694996983,20.454545454545453,5.935047879544661,18.337740517106443,2.952492365060237,9.5,4.521660776315912
perf_cache_references_1,22.0,5.970558739965782,31.454545454545453,5.969745690812385,26.177714324836064,3.4551839143973395,49.0,6.827918561511638
perf_L1_dcache_loads_3,39.0,5.835117015463766,33.36363636363637,6.0146580997925305,23.69081141401757,3.079585172798599,43.5,4.87435652174787
perf_time_3,17.0,5.4447464644908905,23.818181818181817,6.034453227689043,17.758480688494622,3.1970496071725663,19.0,5.330582983056956
perf_cycles_5,23.0,5.348361667478457,22.0,6.053455901253259,11.575836902790224,3.278866463733003,13.0,5.65344551601936
time_5,23.0,5.469586591527332,25.363636363636363,6.056110276180861,14.712394280148471,3.2027896786977395,8.5,5.34953457455822
time_3,17.0,5.592218737991061,22.90909090909091,6.057732705091005,12.9340986965041,3.280165841620177,21.0,5.549051650729439
perf_cycles_2,27.0,5.62798175791977,25.181818181818183,6.065154952636065,11.443934479174386,3.240212504861952,17.0,5.518020300776684
perf_time_4,19.0,5.439821598993149,25.09090909090909,6.0792568422797215,17.762063762156384,3.260114910189649,19.5,5.590040316259099
perf_time_5,16.0,5.61825672298437,20.63636363636364,6.0963525784923,12.940422924098945,3.190778334374716,20.5,5.4472652992717485
perf_instructions_3,30.0,5.629778889473528,29.818181818181817,6.098886326596349,16.863085019166462,3.290275959597744,22.5,5.635398486993765
perf_cache_misses_1,33.0,6.192679329484236,31.545454545454547,6.112839433079888,25.76960859758501,4.224779442319045,46.5,8.025329497668281
time_2,13.0,5.579737213032786,21.09090909090909,6.115017290343872,16.207742257665288,3.2241863586306145,17.0,5.56629901224278
perf_branch_misses_2,23.0,5.040157877992897,27.90909090909091,6.133862651555515,20.92584309151985,3.199498425098386,34.0,5.345209288294427
perf_branches_2,33.0,5.635500650969334,29.181818181818183,6.1369976274534,16.5034431669163,3.176771246860967,28.5,5.11114132676812
perf_instructions_2,33.0,5.470692639995832,31.09090909090909,6.16245553322702,20.58861115012154,3.203755528068495,40.5,5.395307601207605
perf_instructions_4,35.0,5.620811248023529,34.27272727272727,6.172642664273988,10.964405219535704,3.194461932115418,18.0,5.414310238714279
perf_branches_4,32.0,5.667710873007309,33.27272727272727,6.175611168508836,12.838153364802192,3.211661007639217,22.5,5.497040826212469
perf_instructions_1,35.0,5.613667722500395,37.81818181818182,6.1801259177585015,16.515557403964188,3.228044105806498,13.0,5.460393916970133
perf_branch_misses_1,24.0,5.652794366062153,30.181818181818183,6.191772473131581,21.729326643125333,4.254864224758792,38.0,7.887458544926631
energy_4,17.0,5.395749675502884,28.09090909090909,6.193653410152392,24.981811565435144,3.185596259616392,49.0,5.671278660729062
perf_branches_3,47.0,5.654388730472419,42.18181818181818,6.227627737897618,17.876342924760547,3.2129059721148234,24.5,5.498721078252856
perf_L1_dcache_loads_1,37.0,5.541854010996758,33.90909090909091,6.338708595367806,22.1921361993592,3.5929488372432137,31.5,6.89312060771573
perf_branches_5,37.0,5.625603497028351,30.454545454545453,6.372812985904664,17.620236300138746,3.227529177158756,26.0,5.391310604514729
perf_branches_1,37.0,5.06162745050824,32.0,6.409909066695181,19.375241933973367,3.6882853158339097,23.5,6.955915032562187
