number_of_retries,total_decreases,average_decrease_percentage_per_step,proportion_of_decreases
1,9.0,0.047146146490892396,0.0400729927007299
2,7.5,0.045601228802870195,0.0616334283000949
3,8.0,0.0474280478192539,0.0794665404040404
4,7.0,0.05041138907378885,0.09524673439767775
5,7.0,0.05056672040427175,0.11010101010101006
