Key,Median,IQR
weights,0.06,0.027432712215320905
perf_L1_dcache_loads,0.07947019867549669,0.03417366946778712
perf_cache_misses,0.0851063829787234,0.030877573131094266
perf_instructions,0.08943089430894309,0.04824561403508772
perf_branch_misses,0.0967741935483871,0.09607843137254901
time,0.1016949152542373,0.02389705882352941
perf_cycles,0.1095890410958904,0.07105263157894737
perf_cache_references,0.11206896551724138,0.10606060606060605
perf_time,0.1188118811881188,0.03050108932461873
perf_task_clock,0.125,0.058823529411764705
perf_branches,0.1411764705882353,0.05215686274509804
perf_faults,0.14814814814814814,0.06190476190476191
energy,0.2,0.08151549942594721
perf_cpu_clock,0.48,0.5046511627906977
