Key,Median,IQR
weights,0.06,0.05848861283643892
perf_branch_misses,0.07058823529411765,0.038922953878965605
perf_cycles,0.07894736842105263,0.04958904109589041
perf_L1_dcache_loads,0.07947019867549669,0.03417366946778712
perf_cache_misses,0.08450704225352113,0.07736180169640247
perf_task_clock,0.08823529411764706,0.1085972850678733
perf_instructions,0.08943089430894309,0.04824561403508772
time,0.09375,0.040719305498139735
perf_cpu_clock,0.1,0.45999999999999996
perf_cache_references,0.11206896551724138,0.10606060606060605
perf_time,0.11764705882352941,0.0688118811881188
perf_branches,0.1411764705882353,0.05215686274509804
perf_faults,0.14814814814814814,0.06190476190476191
energy,0.14925373134328357,0.11836734693877553
