Item_Retry,Normalized_MAD
energy_2,0.03073885130502684
energy_5,0.006184059062676509
perf_branches_3,0.1227366426394064
weights_5,0.026549728855213086
perf_faults_1,0.05130796970510566
perf_faults_3,0.022235258528057536
perf_faults_4,0.0209307748200945
perf_faults_5,0.00684502772783975
perf_cpu_clock_1,0.5972406918240049
perf_cpu_clock_2,0.3727917307124176
perf_cpu_clock_3,0.3670004549368272
perf_cpu_clock_4,0.2357966590231423
perf_cpu_clock_5,0.3093687215038158
perf_task_clock_1,0.9213485134653064
perf_task_clock_2,0.66445448197521
perf_task_clock_3,0.5397497878518692
perf_task_clock_5,0.25659868236905176
time_1,0.013508707143235762
time_2,0.02567013839093973
time_3,0.00701179099411035
time_4,0.003963344458942343
time_5,0.04156759948358128
perf_time_1,0.10368917775515407
perf_time_3,0.053845856244069325
perf_time_4,0.003931153195777882
perf_time_5,0.030472640602765104
perf_cycles_1,0.02025310570556485
perf_cycles_2,0.03499732386288957
perf_cycles_3,0.11217168886001924
perf_cycles_5,0.0191786766327748
perf_cache_references_1,0.08966056468613043
perf_cache_references_2,0.037424684085025965
perf_time_2,0.01915416380615076
perf_cycles_4,0.01961744425001483
perf_cache_references_3,0.020323812864855375
perf_cache_references_4,0.09018044630835458
perf_cache_references_5,0.017069361504851572
perf_cache_misses_1,0.04688274305107374
perf_cache_misses_2,0.11532636772375582
perf_cache_misses_3,0.053723977849409243
perf_cache_misses_4,0.12102421797325824
perf_cache_misses_5,0.0907470281960466
perf_branch_misses_1,0.09650744711360458
perf_branch_misses_2,0.14394712120776817
perf_branch_misses_3,0.014583550573766016
perf_branch_misses_4,0.01246727714691005
perf_branch_misses_5,0.03683824179621729
energy_1,0.02081995075751897
energy_3,0.027486982636132955
energy_4,0.011207215260735726
perf_instructions_1,0.02693496207372077
perf_instructions_2,0.0397761495127894
perf_instructions_4,0.017812025100509478
perf_instructions_3,0.04107931367835423
perf_instructions_5,0.008583202849383059
perf_branches_1,0.01103371000611722
perf_branches_2,0.01700401440232726
perf_branches_4,0.03960300672310485
perf_branches_5,0.031214106466508566
weights_1,0.0850197317261186
weights_2,0.08034920942245949
weights_3,0.05434102973752037
weights_4,0.04035193081881416
perf_L1_dcache_loads_1,0.03776336065445962
perf_L1_dcache_loads_2,0.008106678099348173
perf_L1_dcache_loads_3,0.008458216311702469
perf_L1_dcache_loads_4,0.009852142653266841
perf_L1_dcache_loads_5,0.05651824116593243
perf_faults_2,0.012052566576810662
perf_task_clock_4,0.1061813275039036
