Item_Retry,Normalized_MAD
time_1,0.04590316787423675
time_2,0.027020643101166236
time_3,0.028955619636974697
time_4,0.042213131495732366
time_5,0.04788674218995179
perf_time_1,0.034370693994232135
perf_time_2,0.02448929806886401
perf_time_3,0.04139660708149556
perf_time_4,0.023227824567816777
perf_time_5,0.027892708390168525
perf_instructions_1,0.021329672961870046
perf_instructions_2,0.018722486638234496
perf_instructions_3,0.017704107649612073
perf_instructions_4,0.01578376608272688
perf_instructions_5,0.01369892428151384
perf_cycles_1,0.028681725824586595
perf_cycles_2,0.029964162800830113
perf_cycles_3,0.02885408506113522
perf_cycles_4,0.025988221532423555
perf_cycles_5,0.022995299611063693
perf_cache_references_1,0.028519578591048516
perf_cache_references_2,0.02087545915725821
perf_cache_references_3,0.030670338269527343
perf_cache_references_4,0.02245956037949197
perf_cache_references_5,0.05385925899402782
perf_cache_misses_1,0.03615016169455796
perf_cache_misses_2,0.03117526525465045
perf_cache_misses_3,0.029470516089326545
perf_cache_misses_4,0.032312558580428495
perf_cache_misses_5,0.03425559668529551
perf_branches_1,0.023286359212952006
perf_branches_2,0.04161977951422956
perf_branches_3,0.013916187422918188
perf_branches_4,0.012567329395524433
perf_branches_5,0.010161685406660763
perf_branch_misses_1,0.016728047496190473
perf_branch_misses_2,0.010463121217739657
perf_branch_misses_3,0.013897877130614368
perf_branch_misses_4,0.01313279075626587
perf_branch_misses_5,0.011965147438571232
perf_cpu_clock_1,0.5823412563241099
perf_cpu_clock_2,0.3578556318875033
perf_cpu_clock_3,0.2695068425266898
perf_cpu_clock_4,0.2829315149154985
perf_cpu_clock_5,0.19952910693255968
perf_task_clock_1,0.5601574520802353
perf_task_clock_2,0.3090731595553231
perf_task_clock_3,0.31357835236006054
perf_task_clock_4,0.29450976886374075
perf_task_clock_5,0.20125752780451023
perf_faults_1,0.03154316518432853
perf_faults_2,0.03666880168080587
perf_faults_3,0.027746002956612732
perf_faults_4,0.02516526642873644
perf_faults_5,0.030891155000636078
weights_1,0.08128044054288935
weights_2,0.07148262213167625
weights_3,0.05555743894981721
weights_4,0.02947288703946655
weights_5,0.03326689548473378
energy_1,0.039833256371622563
energy_2,0.04036627850314839
energy_3,0.03606047897014135
energy_4,0.04803219649032456
energy_5,0.0463420630333739
perf_L1_dcache_loads_1,0.030781312202156852
perf_L1_dcache_loads_2,0.043822729920267284
perf_L1_dcache_loads_3,0.013085454184266394
perf_L1_dcache_loads_4,0.013754442796307186
perf_L1_dcache_loads_5,0.016860183281214084
