Key,Median,IQR
perf_cpu_clock,0.05,0.019789734075448366
perf_task_clock,0.1,0.07834101382488479
perf_instructions,0.14285714285714285,0.03713968957871397
perf_faults,0.15789473684210525,0.04166666666666666
perf_branches,0.16363636363636364,0.14466130884041328
weights,0.16666666666666666,0.1222222222222222
perf_L1_dcache_loads,0.18421052631578946,0.3147279549718574
perf_time,0.275,0.15945246022937476
time,0.3,0.095
perf_branch_misses,0.3389830508474576,0.5708478513356562
perf_cache_misses,0.35135135135135137,0.19881440948472415
energy,0.41935483870967744,0.20740740740740737
perf_cycles,0.45652173913043476,0.03585858585858587
perf_cache_references,0.4782608695652174,0.19444444444444442
