Key,Median,IQR
weights,0.1,0.1597222222222222
perf_cpu_clock,0.12244897959183673,0.07498715973292244
perf_instructions,0.14285714285714285,0.03713968957871397
perf_task_clock,0.14285714285714285,0.10588235294117646
perf_faults,0.15789473684210525,0.04166666666666666
perf_branches,0.16363636363636364,0.14466130884041328
perf_L1_dcache_loads,0.18421052631578946,0.3147279549718574
perf_time,0.275,0.15945246022937476
time,0.3,0.095
perf_cache_misses,0.35135135135135137,0.19881440948472415
energy,0.41935483870967744,0.20740740740740737
perf_cycles,0.45652173913043476,0.03585858585858587
perf_cache_references,0.4782608695652174,0.19444444444444442
perf_branch_misses,0.5952380952380952,0.46657250470809797
