Key,Median,IQR
perf_branches,0.047619047619047616,0.0984126984126984
perf_task_clock,0.05555555555555555,0.0919191919191919
perf_cycles,0.0625,0.305952380952381
perf_cache_references,0.25,0.29714285714285715
perf_time,0.265625,0.10056925996204935
weights,0.2727272727272727,0.4041769041769042
perf_cache_misses,0.30985915492957744,0.18334735071488648
perf_faults,0.38181818181818183,0.42612612612612616
perf_instructions,0.5,0.49561403508771934
perf_cpu_clock,0.5454545454545454,0.26274509803921564
energy,0.5555555555555556,0.5414141414141415
perf_branch_misses,0.6617647058823529,0.4277777777777778
time,0.6666666666666666,0.428921568627451
