Key,Median_Largest_Improvement
perf_faults,1
weights,2
perf_instructions,5
perf_cache_misses,5
perf_cpu_clock,5
perf_task_clock,5
perf_branch_misses,6
time,8
perf_time,8
energy,8
perf_cache_references,9
perf_cycles,11
perf_branches,15
