Key,Median,IQR
perf_instructions,0.017543859649122806,0.018509050005112996
time,0.034013605442176874,0.007792207792207791
perf_time,0.04225352112676056,0.026893261776982702
perf_task_clock,0.04918032786885246,0.27393703343070436
perf_L1_dcache_loads,0.052083333333333336,0.059179869524697115
perf_cycles,0.05434782608695652,0.08557692307692308
perf_cache_references,0.05714285714285714,0.015253890253890255
perf_cache_misses,0.06201550387596899,0.042735042735042736
perf_branch_misses,0.07575757575757576,0.03162676917700506
energy,0.10294117647058823,0.02985931668102211
perf_branches,0.10869565217391304,0.1973071324599709
perf_faults,0.17567567567567569,0.20031153581164063
perf_cpu_clock,0.18085106382978725,0.3330427201394943
weights,0.42857142857142855,0.3912037037037037
