Key,Median,IQR
perf_L1_dcache_loads,0.00425531914893617,0.0038893398268398274
energy,0.004608294930875576,0.002934072284871746
perf_instructions,0.005291005291005291,0.0012381591705825316
perf_branch_misses,0.006060606060606061,0.006556245686680469
perf_time,0.006153846153846154,0.004526895855278622
perf_faults,0.006756756756756757,0.0036381641264100575
perf_task_clock,0.006802721088435374,0.04134615384615385
perf_cache_misses,0.009029345372460496,0.00375
time,0.009389671361502348,0.008463028042745463
weights,0.009708737864077669,0.008472323742441359
perf_cycles,0.010050251256281407,0.004416635995583364
perf_branches,0.010869565217391304,0.0024783726911386493
perf_cache_references,0.011560693641618497,0.00984278879015721
perf_cpu_clock,0.013227513227513227,0.0358759842519685
