Key,Median,IQR
perf_task_clock,0.025252525252525252,0.027341501105982408
perf_cpu_clock,0.03731343283582089,0.060000000000000005
weights,0.058823529411764705,0.051515151515151514
perf_cycles,0.11929824561403508,0.08119460143920441
perf_branches,0.1267605633802817,0.010622056196199436
perf_instructions,0.14285714285714285,0.15382091592617908
perf_branch_misses,0.16470588235294117,0.10834266517357222
perf_cache_misses,0.17040358744394618,0.19646182495344508
time,0.17747440273037543,0.6540331200491969
perf_time,0.1793103448275862,0.27229266264809815
perf_faults,0.23853211009174313,0.389300836928215
perf_cache_references,0.24516129032258063,0.21557037001510757
energy,0.30952380952380953,0.10428571428571431
perf_L1_dcache_loads,0.7218453188602443,0.11225038402457754
