Key,Median,IQR
weights,0.058823529411764705,0.05018939393939394
perf_cycles,0.11929824561403508,0.08119460143920441
perf_branches,0.1267605633802817,0.010622056196199436
perf_instructions,0.14285714285714285,0.15382091592617908
perf_branch_misses,0.16470588235294117,0.10834266517357222
perf_cache_misses,0.17040358744394618,0.19646182495344508
time,0.17747440273037543,0.6540331200491969
perf_time,0.1793103448275862,0.27229266264809815
perf_faults,0.23853211009174313,0.389300836928215
perf_cache_references,0.24516129032258063,0.21557037001510757
perf_task_clock,0.25190839694656486,0.6214914096983042
energy,0.30952380952380953,0.10428571428571431
perf_cpu_clock,0.4504950495049505,0.8716812439261419
perf_L1_dcache_loads,0.7218453188602443,0.11225038402457754
