Key,Median,IQR
perf_cache_misses,0.03278688524590164,0.41678276712035156
perf_task_clock,0.0443213296398892,0.5945692240767452
perf_cycles,0.10508849557522124,0.7021891899707916
perf_time,0.12941176470588237,0.09111111111111111
perf_L1_dcache_loads,0.13488372093023257,0.0842409299048961
energy,0.164,0.09529505582137163
perf_cache_references,0.16994633273703041,0.10412129334896969
perf_branches,0.1910828025477707,0.4579735971569321
weights,0.21016166281755197,0.22793909548876437
perf_instructions,0.35251798561151076,0.4929081547915629
perf_cpu_clock,0.3787878787878788,0.3591429534825761
time,0.39492753623188404,0.37397875816993464
perf_branch_misses,0.6451612903225806,0.6155858930602958
perf_faults,0.8193548387096774,0.6203620464203989
